"project_acronym","project","main_researcher","institution","details_project","budget_project","date_start_project","date_end_project"
"3SPIN","Three Dimensional Spintronics","Russell Paul Cowburn","THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE","Spintronics, in which both the spin and the charge of the electron are used, is one of the most exciting new disciplines to emerge from nanoscience. The 3SPIN project seeks to open a new research front within spintronics: namely 3-dimensional spintronics, in which magnetic nanostructures are formed into a 3-dimensional interacting network of unrivalled density and hence technological benefit. 3SPIN will explore early-stage science that could underpin 3-dimensional metallic spintronics. The thesis of the project is: that by careful control of the constituent nanostructure properties, a 3-dimensional medium can be created in which a large number of topological solitons can exist. Although hardly studied at all to date, these solitons should be stable at room temperature, extremely compact and easy to manipulate and propagate. This makes them potentially ideal candidates to form the basis of a new spintronics in which the soliton is the basic transport vector instead of electrical current. ¬3.5M of funding is requested to form a new team of 5 researchers who, over a period of 60 months, will perform computer simulations and experimental studies of solitons in 3-dimensional networks of magnetic nanostructures and develop a laboratory demonstrator 3-dimensional memory device using solitons to represent and store data. A high performance electron beam lithography system (cost 1M¬) will be purchased to allow state-of-the-art magnetic nanostructures to be fabricated with perfect control over their magnetic properties, thus allowing the ideal conditions for solitons to be created and controllably manipulated. Outputs from the project will be a complete understanding of the properties of these new objects and a road map charting the next steps for research in the field.","2799996","2010-03-01","2016-02-29"
"4-TOPS","Four experiments in Topological Superconductivity.","Laurens Molenkamp","JULIUS-MAXIMILIANS-UNIVERSITAT WURZBURG","Topological materials have developed rapidly in recent years, with my previous ERC-AG project 3-TOP playing a major role in this development. While so far no bulk topological superconductor has been unambiguously demonstrated, their properties can be studied in a very flexible manner by inducing superconductivity through the proximity effect into the surface or edge states of a topological insulator. In 4-TOPS we will explore the possibilities of this approach in full, and conduct a thorough study of induced superconductivity in both two and three dimensional HgTe based topological insulators. The 4 avenues we will follow are:

-SQUID based devices to investigate full phase dependent spectroscopy of the gapless Andreev bound state by studying their Josephson radiation and current-phase relationships.
-Experiments aimed at providing unambiguous proof of localized Majorana states in TI junctions by studying tunnelling transport into such states.  
-Attempts to induce superconductivity in Quantum Hall states with the aim of creating a chiral topological superconductor. These chiral superconductors host Majorana fermions at their edges, which, at least in the case of a single QH edge mode, follow non-Abelian statistics and are therefore promising for explorations in topological quantum computing.
-Studies of induced superconductivity in Weyl semimetals, a completely unexplored state of matter.

Taken together, these four sets of experiments will greatly enhance our understanding of topological superconductivity, which is not only a subject of great academic interest as it constitutes the study of new phases of matter, but also has potential application in the field of quantum information processing.","2497567","2017-06-01","2022-05-31"
"4D IMAGING","Towards 4D Imaging of Fundamental Processes on the Atomic and Sub-Atomic Scale","Ferenc Krausz","LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN","State-of-the-art microscopy and diffraction imaging provides insight into the atomic and sub-atomic structure of matter. They permit determination of the positions of atoms in a crystal lattice or in a molecule as well as the distribution of electrons inside atoms. State-of-the-art time-resolved spectroscopy with femtosecond and attosecond resolution provides access to dynamic changes in the atomic and electronic structure of matter. Our proposal aims at combining these two frontier techniques of XXI century science to make a long-standing dream of scientist come true: the direct observation of atoms and electrons in their natural state: in motion. Shifts in the atoms positions by tens to hundreds of picometers can make chemical bonds break apart or newly form, changing the structure and/or chemical composition of matter. Electronic motion on similar scales may result in the emission of light, or the initiation of processes that lead to a change in physical or chemical properties, or biological function. These motions happen within femtoseconds and attoseconds, respectively. To make them observable, we need a 4-dimensional (4D) imaging technique capable of recording freeze-frame snapshots of microscopic systems with picometer spatial resolution and femtosecond to attosecond exposure time. The motion can then be visualized by slow-motion replay of the freeze-frame shots. The goal of this project is to develop a 4D imaging technique that will ultimately offer picometer resolution is space and attosecond resolution in time.","2500000","2010-03-01","2015-02-28"
"4D-EEG","4D-EEG: A new tool to investigate the spatial and temporal activity patterns in the brain","Franciscus C.T. Van Der Helm","TECHNISCHE UNIVERSITEIT DELFT","Our first goal is to develop a new tool to determine brain activity with a high temporal (< 1 msec) and spatial (about 2 mm) resolution with the focus on motor control. High density EEG (up to 256 electrodes) will be used for EEG source localization. Advanced force-controlled robot manipulators will be used to impose continuous force perturbations to the joints. Advanced closed-loop system identification algorithms will identify the dynamic EEG response of multiple brain areas to the perturbation, leading to a functional interpretation of EEG. The propagation of the signal in time and 3D space through the cortex can be monitored: 4D-EEG. Preliminary experiments with EEG localization have shown that the continuous force perturbations resulted in a better signal-to-noise ratio and coherence than the current method using transient perturbations..
4D-EEG will be a direct measure of the neural activity in the brain with an excellent temporal response and easy to use in combination with motor control tasks. The new 4D-EEG method is expected to provide a breakthrough in comparison to functional MRI (fMRI) when elucidating the meaning of cortical map plasticity in motor learning.
Our second goal is to generate and validate new hypotheses about the longitudinal relationship between motor learning and cortical map plasticity by clinically using 4D-EEG in an intensive, repeated measurement design in patients suffering from a stroke. The application of 4D-EEG combined with haptic robots will allow us to discover how dynamics in cortical map plasticity are related with upper limb recovery after stroke in terms of neural repair and using behavioral compensation strategies while performing a meaningful motor tasks.. The non-invasive 4D-EEG technique combined with haptic robots will open the window about what and how patients (re)learn when showing motor recovery after stroke in order to allow us to develop more effective patient-tailored therapies in neuro-rehabilitation.","3477202","2012-06-01","2017-05-31"
"4DBIOSERS","Four-Dimensional Monitoring of Tumour Growth by Surface Enhanced Raman Scattering","Luis LIZ-MARZAN","ASOCIACION CENTRO DE INVESTIGACION COOPERATIVA EN BIOMATERIALES- CIC biomaGUNE","Optical bioimaging is limited by visible light penetration depth and stability of fluorescent dyes over extended periods of time. Surface enhanced Raman scattering (SERS) offers the possibility to overcome these drawbacks, through SERS-encoded nanoparticle tags, which can be excited with near-IR light (within the biological transparency window), providing high intensity, stable, multiplexed signals. SERS can also be used to monitor relevant bioanalytes within cells and tissues, during the development of diseases, such as tumours. In 4DBIOSERS we shall combine both capabilities of SERS, to go well beyond the current state of the art, by building three-dimensional scaffolds that support tissue (tumour) growth within a controlled environment, so that not only the fate of each (SERS-labelled) cell within the tumour can be monitored in real time (thus adding a fourth dimension to SERS bioimaging), but also recording the release of tumour metabolites and other indicators of cellular activity. Although 4DBIOSERS can be applied to a variety of diseases, we shall focus on cancer, melanoma and breast cancer in particular, as these are readily accessible by optical methods. We aim at acquiring a better understanding of tumour growth and dynamics, while avoiding animal experimentation. 3D printing will be used to generate hybrid scaffolds where tumour and healthy cells will be co-incubated to simulate a more realistic environment, thus going well beyond the potential of 2D cell cultures. Each cell type will be encoded with ultra-bright SERS tags, so that real-time monitoring can be achieved by confocal SERS microscopy. Tumour development will be correlated with simultaneous detection of various cancer biomarkers, during standard conditions and upon addition of selected drugs. The scope of 4DBIOSERS is multidisciplinary, as it involves the design of high-end nanocomposites, development of 3D cell culture models and optimization of emerging SERS tomography methods.","2410771","2018-10-01","2023-09-30"
"4PI-SKY","4 pi sky: Extreme Astrophysics with Revolutionary Radio Telescopes","Robert Philip Fender","THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD","Extreme astrophysical events   such as relativistic flows, cataclysmic explosions and black hole accretion   are one of the key areas for astrophysics in the 21st century. The extremes of physics experienced in these environments are beyond anything achievable in any laboratory on Earth, and provide a unique glimpse at the laws of physics operating in extraordinary regimes. All of these events are associated with transient radio emission, a tracer both of the acceleration of particles to relativistic energies, and coherent emitting regions with huge effective temperatures. By studying radio bursts from these phenomena we can pinpoint the sources of explosive events, understand the budget of kinetic feedback by explosive events in the ambient medium, and probe the physical state of the universe back to the epoch of reionisation, less than a billion years after the big bang. In seeking to push back the frontiers of extreme astrophysics, I will use a trio of revolutionary new radio telescopes, LOFAR, ASKAP and MeerKAT, pathfinders for the Square Kilometre Array, and all facilities in which I have a major role in the search for transients. I will build an infrastructure which transforms their combined operations for the discovery, classification and reporting of transient astrophysical events, over the whole sky, making them much more than the sum of their parts. This will include development of environments for the coordinated handling of extreme astrophysical events, in real time, via automated systems, as well as novel techniques for the detection of these events in a sea of noise. I will furthermore augment this program by buying in as a major partner to a rapid-response robotic optical telescope, and by cementing my relationship with an orbiting X-ray facility. This multiwavelength dimension will secure the astrophysical interpretation of our observational results and help to revolutionise high-energy astrophysics via a strong scientific exploitation program.","2999847","2011-07-01","2017-06-30"
"A-DATADRIVE-B","Advanced Data-Driven Black-box modelling","Johan Adelia K Suykens","KATHOLIEKE UNIVERSITEIT LEUVEN","Making accurate predictions is a crucial factor in many systems (such as in modelling energy consumption, power load forecasting, traffic networks, process industry, environmental modelling, biomedicine, brain-machine interfaces) for cost savings, efficiency, health, safety and organizational purposes.  In this proposal we aim at realizing a new generation of more advanced black-box modelling techniques for estimating predictive models from measured data. We will study different optimization modelling frameworks in order to obtain improved black-box modelling approaches. This will be done by specifying models through constrained optimization problems by studying different candidate core models (parametric models, support vector machines and kernel methods) together with additional sets of constraints and regularization mechanisms. Different candidate mathematical frameworks will be considered with models that possess primal and (Lagrange) dual model representations, functional analysis in reproducing kernel Hilbert spaces, operator splitting and optimization in Banach spaces. Several aspects that are relevant to black-box models will be studied including incorporation of prior knowledge, structured dynamical systems, tensorial data representations, interpretability and sparsity, and general purpose optimization algorithms. The methods should be suitable for handling larger data sets and high dimensional input spaces. The final goal is also to realize a next generation software tool (including symbolic generation of models and handling different supervised and unsupervised learning tasks, static and dynamic systems) that can be generically applied to data from different application areas. The proposal A-DATADRIVE-B aims at getting end-users connected to the more advanced methods through a user-friendly data-driven black-box modelling tool. The methods and tool will be tested in connection to several real-life applications.","2485800","2012-04-01","2017-03-31"
"A2C2","Atmospheric flow Analogues and Climate Change","Pascal Yiou","COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES","""The A2C2 project treats two major challenges in climate and atmospheric research: the time dependence of the climate attractor to external forcings (solar, volcanic eruptions and anthropogenic), and the attribution of extreme climate events occurring in the northern extra-tropics. The main difficulties are the limited climate information, the computer cost of model simulations, and mathematical assumptions that are hardly verified and often overlooked in the literature.
A2C2 proposes a practical framework to overcome those three difficulties, linking the theory of dynamical systems and statistics. We will generalize the methodology of flow analogues to multiple databases in order to obtain probabilistic descriptions of analogue decompositions.
The project is divided into three workpackages (WP). WP1 embeds the analogue method in the theory of dynamical systems in order to provide a metric of an attractor deformation in time. The important methodological step is to detect trends or persisting outliers in the dates and scores of analogues when the system yields time-varying forcings. This is done from idealized models and full size climate models in which the forcings (anthropogenic and natural) are known.
A2C2 creates an open source toolkit to compute flow analogues from a wide array of databases (WP2). WP3 treats the two scientific challenges with the analogue method and multiple model ensembles, hence allowing uncertainty estimates under realistic mathematical hypotheses. The flow analogue methodology allows a systematic and quasi real-time analysis of extreme events, which is currently out of the reach of conventional climate modeling approaches.
The major breakthrough of A2C2 is to bridge the gap between operational needs (the immediate analysis of climate events) and the understanding long-term climate changes. A2C2 opens new research horizons for the exploitation of ensembles of simulations and reliable estimates of uncertainty.""","1491457","2014-03-01","2019-02-28"
"A2F2","Beyond Biopolymers: Protein-Sized Aromatic Amide Functional Foldamers","Ivan Huc","LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN","Nature has evolved ultimate chemical functions based on controlling and altering conformation of its molecular machinery. Prominent examples include enzyme catalysis and information storage/duplication in nucleic acids. These achievements are based on large and complex yet remarkably defined structures obtained through folding of polymeric chains and a subtle interplay of non-covalent forces. Nature uses a limited set of building blocks – e.g. twenty amino-acids and four nucleobases – with specific abilities to impart well-defined folds. In the last decade, chemists have discovered foldamers: non-natural oligomers and polymers also prone to adopt folded structures. The emergence of foldamers has far reaching implications. A new major long term prospect is open to chemistry: the de novo synthesis of artificial objects resembling biopolymers in terms of their size, complexity, and efficiency at achieving defined functions, yet having chemical structures beyond the reach of biopolymers amenable to new properties and functions. The PI of this project has shown internationally recognized leadership in the development of a class of foldamers, aromatic oligoamides, whose features arguably make them the most suitable candidates to systematically explore what folded structures beyond biopolymers give access to. This project aims at developing methods to allow the routine fabrication of 20-40 units long aromatic oligoamide foldamers (6-15 kDa) designed to fold into artificial molecular containers having engineerable cavities and surfaces for molecular recognition of organic substrates, in particular large peptides and saccharides, polymers, and proteins. The methodology rests on modelling based design, multistep organic synthesis of heterocyclic monomers and their assembly into long sequences, structural elucidation using, among other techniques, x-ray crystallography, and the physico-chemical characterization of molecular recognition events.","2496216","2013-06-01","2018-05-31"
"AAMOT","Arithmetic of automorphic motives","Michael Harris","INSTITUT DES HAUTES ETUDES SCIENTIFIQUES","The primary purpose of this project is to build on recent spectacular progress in the Langlands program to study the arithmetic properties of automorphic motives constructed in the cohomology of Shimura varieties. Because automorphic methods are available to study the L-functions of these motives, which include elliptic curves and certain families of Calabi-Yau varieties over totally real fields (possibly after base change), they represent the most accessible class of varieties for which one can hope to verify fundamental conjectures on special values of L-functions, including Deligne's conjecture and the Main Conjecture of Iwasawa theory. Immediate goals include the proof of irreducibility of automorphic Galois representations; the establishment of period relations for automorphic and potentially automorphic realizations of motives in the cohomology of distinct Shimura varieties; the construction of p-adic L-functions for these and related motives, notably adjoint and tensor product L-functions in p-adic families; and the geometrization of the p-adic and mod p Langlands program. All four goals, as well as the others mentioned in the body of the proposal, are interconnected; the final goal provides a bridge to related work in geometric representation theory, algebraic geometry, and mathematical physics.","1491348","2012-06-01","2018-05-31"
"AARTFAAC","Amsterdam-ASTRON Radio Transient Facility And Analysis Centre: Probing the Extremes of Astrophysics","Ralph Antoine Marie Joseph Wijers","UNIVERSITEIT VAN AMSTERDAM","Some of the most extreme tests of physical law come from its manifestations in the behaviour of black holes and neutron stars, and as such these objects should be used as fundamental physics labs. Due to advances in both theoretical work and observational techniques, I have a major opportunity now to significantly push this agenda forward and get better answers to questions like: How are black holes born? How can energy be extracted from black holes? What is the origin of magnetic fields and cosmic rays in jets and shocks? Is their primary energy stream hadronic or magnetic? I propose to do this by exploiting the advent of wide-field radio astronomy: extreme objects are very rare and usually transient, so not only must one survey large areas of sky, but also must one do this often. I propose to form and shape a group that will use the LOFAR wide-field radio telescope to hunt for these extreme transients and systematically collect enough well-documented examples of the behaviour of each type of transient. Furthermore, I propose to expand LOFAR with a true 24/7 all-sky monitor to catch and study even the rarest of events. Next, I will use my experience in gamma-ray burst followup to conduct a vigorous multi-wavelength programme of study of these objects, to constrain their physics from as many angles as possible. This will eventually include results from multi-messenger astrophysics, in which we use neutrinos, gravity waves, and other non-electromagnetic messengers as extra diagnostics of the physics of these sources. Finally, I will build on my experience in modelling accretion phenomena and relativistic explosions to develop a theoretical framework for these phenomena and constrain the resulting models with the rich data sets we obtain.","3499128","2010-10-01","2016-09-30"
