"project_acronym","project","main_researcher","institution","details_project","budget_project","date_start_project","date_end_project"
"DYNAPOL","Modeling approaches toward bioinspired dynamic materials","Giovanni Maria PAVAN","SCUOLA UNIVERSITARIA PROFESSIONALE DELLA SVIZZERA ITALIANA","Nature uses self-assembly to build fascinating supramolecular materials, such as microtubules and protein filaments, that can self-heal, reconfigure, adapt or respond to specific stimuli in dynamic way. Building synthetic (polymeric) supramolecular materials possessing similar bioinspired properties via the same self-assembly principles is interesting for many applications. But their rational design requires a detailed comprehension of the molecular determinants controlling the assembly (structure, dynamics and properties) that is typically very difficult to reach experimentally.
The aim of this project is to obtain structure-dynamics-property relationships to learn how to control the dynamic bioinspired properties of supramolecular polymers. I propose to unravel the molecular origin of the bioinspired behavior through massive multiscale modeling, advanced simulations and machine learning. First, we will develop ad hoc molecular models to study monomer assembly and the supramolecular structure of various types of self-assembled materials on multiple scales. Second, using advanced simulation approaches we will characterize the supramolecular dynamics of these materials (dynamic exchange of monomers) at high (submolecular) resolution. We will then study bioinspired properties such as the ability of various supramolecular materials to self-heal, adapt or reconfigure dynamically in response to specific stimuli. Our models will be systematically validated by comparison with the experimental evidence from our collaborators. Finally, we will use machine learning approaches to analyze our high-resolution simulations and to identify the key monomer features that control and determine the structure, dynamics and dynamic properties of a supramolecular material (i.e., structure-dynamics-property relationships). This research will produce unprecedented insight and fundamental models for the rational design of artificial dynamic materials with controllable bioinspired properties.","1999623","2019-06-01","2024-05-31"
"Dynasore","Dynamical magnetic excitations with spin-orbit interaction in realistic nanostructures","Samir Lounis","FORSCHUNGSZENTRUM JULICH GMBH","Nano-spin-orbitronics is an emerging and fast growing field that aims at combining three degrees of freedom − spin, charge and spin-orbit interaction − to explore new nanotechnologies stemming from fundamental physics. New magnetic phases of matter are investigated using, in particular, atomic design to tailor beneficial physical properties down to the atomic level. Storage, transport and manipulation of magnetic information within a small set of atoms does not only require a fundamental understanding of their ground-state properties from the perspective of quantum mechanics, but crucially also their dynamical excited states. We propose to go beyond the state of the art by investigating from first-principles the dynamical properties of chiral spin textures in nanostructures from 2-dimensions to 0-dimension with these nanostructures being deposited on different substrates where spin-orbit interaction plays a major role. Understanding their response to external dynamical fields (electric/magnetic) or currents will impact on the burgeoning field of nano-spin-orbitronics. Indeed, to achieve efficient manipulation of nano-sized functional spin textures, it is imperative to exploit and understand their resonant motion, analogous to the role of ferromagnetic resonance in spintronics. A magnetic skyrmion is an example of a spin-swirling texture characterized by a topological number that will be explored. This spin state has huge potential in nanotechnologies thanks to the low spin currents needed to manipulate it. Based on time-dependent density functional theory and many-body perturbation theory, our innovative scheme will deliver a paradigm shift with respect to existing theoretical methodologies and will provide a fundamental understanding of: (i) the occurrence of chiral spin textures in reduced dimensions, (ii) their dynamical spin-excitation spectra and the coupling of the different excitation degrees of freedom and (iii) their impact on the electronic structure.","1994879","2016-06-01","2021-05-31"
"DyNET","Dynamical river NETworks: climatic controls and biogeochemical function","Gianluca BOTTER","UNIVERSITA DEGLI STUDI DI PADOVA","Despite the ubiquity of expansion and retraction dynamics of flowing streams, the large majority of biogeochemical and hydrological studies conceive river networks as static elements of the landscape, and a coherent framework to quantify nature and extent of drainage network dynamics is lacking. The implications of this phenomenon extend far beyond hydrology and involve key ecological and biogeochemical function of riparian corridors. The proposed research project will move beyond the traditional paradigm of static river networks by unravelling, for the first time, physical causes and biogeochemical consequences of stream dynamics. In particular, the project will undertake the following overarching scientific questions: 1) what are the climatic and geomorphic controls on the expansion/contraction of river networks? 2) what is the length of temporary streams and what is their impact on catchment-scale biogeochemical processes and stream water quality across scales? These challenging issues will be addressed by developing a novel theoretical framework complemented by extensive field observations within four representative sites along a climatic gradient in the EU. Field measurements will include long-term weekly mapping of the active drainage network and daily hydro-chemical data across scales. The experimental dataset will be used to develop and inform a set of innovative modelling tools, including an analytical framework for the description of spatially explicit hydrologic dynamics driven by stochastic rainfall and a modular hydro-chemical model based on the concept of water age, able to account for the variable connectivity among soil, groundwater and channels as induced by stream network dynamics. The project will open new avenues to quantify freshwater carbon emissions - crucially dependent on the extent of ephemeral streams - and it will provide a robust basis to identify temporary rivers and maintain their biogeochemical function in times of global change.","1999758","2018-05-01","2023-04-30"
"DYNPOR","First principle molecular dynamics simulations for complex chemical transformations in nanoporous materials","Véronique Van Speybroeck","UNIVERSITEIT GENT","Chemical transformations in nanoporous materials are vital in many application domains, such as catalysis, molecular separations, sustainable chemistry,….  Model-guided design is indispensable to tailoring materials at the nanometer scale level.    
At real operating conditions, chemical transformations taking place at the nanometer scale have a very complex nature, due to the interplay of several factors such as the number of particles present in the pores of the material, framework flexibility, competitive pathways, entropy effects,…  The textbook concept of a single transition state is far too simplistic in such cases.  A restricted number of configurations of the potential energy surface is not sufficient to capture the complexity of the transformation.    

My objective is to simulate complex chemical transformations in nanoporous materials using first principle molecular dynamics methods at real operating conditions, capturing the full complexity of the free energy surface.  To achieve these goals advanced sampling methods will be used to explore the interesting regions of the free energy surface. The number of guest molecules at real operating conditions will be derived and the diffusion of small molecules through pores with blocking molecules will be studied.  New theoretical models will be developed to keep track of both the framework flexibility and entropy of the lattice.  

The selected applications are timely and rely on an extensive network with prominent experimental partners.  The applications will encompass contemporary catalytic conversions in zeolites, active site engineering in metal organic frameworks and structural transitions in nanoporous materials, and the expected outcomes will have the potential to yield groundbreaking new insights.  

The results  are expected to have impact far beyond the horizon of the current project as they will contribute to the transition from static to dynamically based modeling tools within heterogeneous catalysis","1993750","2015-08-01","2020-07-31"
"E-motion","Electro-motion for the sustainable recovery of high-value nutrients from waste water","Louis Cornelia Patrick Maria de Smet","WAGENINGEN UNIVERSITY","Current water treatment technologies are mainly aimed to improve the quality of water. High-value nutrients, like nitrate and phosphate ions, often remain present in waste streams. Electro-driven separation processes offer a sustainable way to recover these nutrients. Ion-selective polymer membranes are a strong candidate to achieve selectivity in such processes.

The aim of E-motion is to chemically modify porous electrodes with membranes to introduce selectivity in electro-driven separation processes. New, ultrathin ion-selective films will be designed, synthesized and characterized. The films will be made by successively adsorbing polycations and polyanions onto the electrodes. Selectivity will be introduced by the incorporation of ion-selective receptors. The adsorbed multilayer films will be studied in detail regarding their stability, selectivity and transport properties under varying experimental conditions of salinity, pH and applied electrical field, both under adsorption and desorption conditions.

The first main challenge is to optimize and to understand the film architecture in terms of 1) stability towards an electrical field, 2) ability to facilitate ion transport. Also the influence of ion charge and ion size on the transport dynamics will be addressed. The focus of E-motion is set on phosphate ions, which is rather complex due to their large size, pH-dependent speciation and the development of phosphate-selective materials. Theoretical modelling of the solubility equilibria and electrical double layers will be pursued to frame the details of the electrosorption of phosphate.

E-motion represents a major step forward in the selective recovery of nutrients from water in a cost-effective, chemical-free way at high removal efficiency. The proposed surface modification strategies and the increased understanding of ion transport and ionic interactions in membrane media offer also applications in the areas of batteries, fuel cells and solar fuel devices.","1950000","2016-11-01","2021-10-31"
"e-Sequence","e-Sequence: a sequential approach to engineer heteroatom doped graphene nanoribbons for electronic applications","Aurelio MATEO ALONSO","UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA","Graphene nanoribbons (NR) are quasi-1D nanostructures with discrete band gaps, ballistic conduction, and one-atom thickness. Such properties make them ideal candidates to develop low-dimensional semiconductors, which are essential components in nanoelectronics. Atomically-precise control over the structure of NR (width, length, edge, doping) is crucial to fully exploit their potential. However, current approaches for the synthesis of NR suffer from several drawbacks that do not allow attaining such level of precision, therefore alternative methods need to be sought.

e-Sequence will develop an unprecedented approach that assembles stepwise small molecular building blocks into NR to specifically target the most important challenges in NR synthesis. Such approach will enable the preparation of an unlimited number of NR with atomically-precise control over their structure and with almost no synthetic and purification effort, exceeding the limits of existing methods.

The impact of e-Sequence will not be limited to NR synthesis but it will also extend to other disciplines, since NR are promising candidates to develop new technologies with applications in electronics, sensing, photonics, energy storage and conversion, spintronics, etc.

e-Sequence ambitious research programme will be orchestrated by an independent scientist with an excellent track record of achievements in low-dimensional carbon nanostructures, and who has already established a fledgling and internationally competitive research group. Building on this and on his recent permanent appointment as Research Professor, the award of this ERC project will enable him to consolidate his group, build a portfolio of excellent research, and produce results that compete on the world stage.","2000000","2017-11-01","2022-10-31"
"Earth core","Exploring Thermodynamic Properties of Earth’s Core-Forming Materials","Tetsuya Komabayashi","THE UNIVERSITY OF EDINBURGH","It is known that the Earth’s core is less dense than pure iron by about 7%, which is due to the presence of a light element(s) such as Si, S, C, O, and H. The goal of this project is to construct a thermodynamic model of the Earth’s central core. A particular focus is on the identification of the light element because the inclusion of these elements in iron liquid depends on the pressure (P), temperature (T), and chemical environment and hence provides us invaluable information about the origin and evolution of the solid Earth. We will examine phase relations and density of phases in Fe-light element systems by conducting high-P-T experiments and employing thermodynamic calculations based on the experimental data. 
High-P-T experiments will be conducted in a diamond anvil cell with three different kinds of heating techniques: laser heating, external-resistive heating, and internal-resistive heating. Of the three, the internal-resistive heating system is a special technique that I have developed and employed and I am currently generating 5000 K at 200 GPa with it. Structure of phases will be analysed by in-situ X-ray diffraction. Chemical analysis will also be employed on samples to determine element partitioning between the phases. 
I will also employ thermodynamic calculations based on the experimental data to fully understand the thermodynamic properties of the materials and obtain physical properties which are difficult to directly determine by experiment such as sound velocity of liquids. 
From the thermodynamic models, I will calculate the physical properties of light element-bearing iron liquids and compare them with seismologically constrained values of the Earth’s core to find out the best matching composition. From these results, I will discuss the physical and chemical environments during the core formation and implicate in the origin and evolution of the Earth. Also the results will be applied to other terrestrial planets which have metallic cores.","1891765","2015-06-01","2020-05-31"
"EARTHSEQUENCING","A new approach to sequence Earth history at high resolution over the past 66 million years","Heiko Pälike","UNIVERSITAET BREMEN","""One major challenge to be addressed by this proposal is to overcome fundamental obstacles to generate a first high-resolution and continuous fully integrated record of geological events, ages and durations
(a ‘sequence of Earth history’) for the past 66 million years, anchored to the present, to extract properties of Earth’s and solar system orbital motion, and then to apply this time scale to solve first order questions about Earth’s climate system and Earth System sensitivity. The project will bridge the long-standing ‘Eocene tuning gap’, primarily using spectacular new data recovered during Integrated Ocean Drilling Expedition 342 and integrated with a new consistent and integrated approach with existing data that currently only provide time sequences floating in time, not anchored to the present. The proposal will extract astronomical parameters (tidal dissipation, dynamical ellipticity) and verify astronomical models to provide long term amplitude modulation patterns of Earth’s orbital variations (obliquity and short eccentricity) beyond 40 million years before present.  It will also search for the fingerprint of chaotic transitions in the solar system that will allow astronomical models to be tested. The improved geologic time scale will then be applied, exploited, and combined with modern Earth System Models of Intermediate Complexity to quantify Earth System sensitivity to orbital forcing during a world of elevated carbon-dioxide concentrations during the ‘greenhouse’ Paleogene. Using novel new pattern matching and recognition algorithms as well as time series analysis methods, the full record of Earth history will be fully integrated and analysed with a consistent and documented workflow. This development will have the ground-breaking potential to take ‘Earth sequencing’ to the next level.""","1998343","2014-04-01","2019-03-31"
"eAXON","Electronic AXONs: wireless microstimulators based on electronic rectification of epidermically applied currents","Antonio IVORRA Cano","UNIVERSIDAD POMPEU FABRA","To build interfaces between the electronic domain and the human nervous system is one of the most demanding challenges of nowadays engineering. Fascinating developments have already been performed such as visual cortical implants for the blind and cochlear implants for the deaf. Yet implantation of most electrical stimulation systems requires complex surgeries which hamper their use for the development of so-called electroceuticals. More importantly, previously developed systems based on central stimulation units are not adequate for applications in which a large number of sites must be individually stimulated over large and mobile body parts, thus hindering neuroprosthetic solutions for patients suffering paralysis due to spinal cord injury or other neurological disorders. A solution to these challenges could consist in developing addressable single-channel wireless microstimulators which could be implanted with simple procedures such as injection. And, indeed, such solution was proposed and tried in the past. However, previous attempts did not achieve satisfactory success because the developed implants were stiff and too large. Further miniaturization was prevented because of the use of inductive coupling and batteries as energy sources. Here I propose to explore an innovative method for performing electrical stimulation in which the implanted microstimulators will operate as rectifiers of bursts of innocuous high frequency current supplied through skin electrodes shaped as garments. This approach has the potential to reduce the diameter of the implants to one-fifth the diameter of current microstimulators and, more significantly, to allow that most of the implants’ volume consists of materials whose density and flexibility match those of neighbouring living tissues for minimizing invasiveness. In fact, implants based on the proposed method will look like short pieces of flexible thread.","1999813","2017-05-01","2022-04-30"
"ECHO","Extending Coherence for Hardware-Driven Optimizations in Multicore Architectures","Alberto ROS","UNIVERSIDAD DE MURCIA","Multicore processors are present nowadays in most digital devices, from smartphones to high-performance servers. The increasing computational power of these processors is essential for enabling many important emerging application domains such as big-data, media, medical, or scientific modeling. A fundamental technique to improve performance is speculation, a technique that consists in executing work before it is known if it is actually needed. In hardware, speculation significantly increases energy consumption by performing unnecessary operations, while speculation in software (e.g., compilers) is not the default thus preventing performance optimizations. Since performance in current multicores is limited by their power budget, it is imperative to make multicores as energy-efficient as possible to increase performance even further.
In a multicore architecture, the cache coherence protocol is an essential component since its unique but challenging role is to offer a simple and unified view of the memory hierarchy. This project envisions that extending the role of the coherence protocol to simplify other system components will be the key to overcome the performance and energy limitations of current multicores. In particular, ECHO proposes to add simple but effective extensions to the cache coherence protocol in order to (i) reduce and even eliminate misspeculations at the processing cores and synchronization mechanisms and to (ii) enable speculative optimizations at compile time. The goal of this innovative approach is to improve the performance and energy efficiency of future multicore architectures. To accomplish the objectives proposed in this project, I will build on my 14 years expertise in cache coherence, documented in over 40 publications of high impact.","1999955","2019-09-01","2024-08-31"
