"project_acronym","project","main_researcher","institution","details_project","budget_project","date_start_project","date_end_project"
"2D–SYNETRA","Two-dimensional colloidal nanostructures - Synthesis and electrical transport","Christian Klinke","UNIVERSITAET HAMBURG","We propose to develop truly two-dimensional continuous materials and two-dimensional monolayer films composed of individual nanocrystals by the comparatively fast, inexpensive, and scalable colloidal synthesis method. The materials’ properties will be studied in detail, especially regarding their (photo-) electrical transport. This will allow developing new types of device structures, such as Coulomb blockade and field enhancement based transistors.

Recently, we demonstrated the possibility to synthesize in a controlled manner truly two-dimensional colloidal nanostructures. We will investigate their formation mechanism, synthesize further materials as “nanosheets”, develop methodologies to tune their geometrical properties, and study their (photo-) electrical properties.

Furthermore, we will use the Langmuir-Blodgett method to deposit highly ordered monolayers of monodisperse nanoparticles. Such structures show interesting transport properties governed by Coulomb blockade effects known from individual nanoparticles. This leads to semiconductor-like behavior in metal nanoparticle films. The understanding of the electric transport in such “multi-tunnel devices” is still very limited. Thus, we will investigate this concept in detail and take it to its limits. Beside improvement of quality and exchange of material we will tune the nanoparticles’ size and shape in order to gain a deeper understanding of the electrical properties of supercrystallographic assemblies. Furthermore, we will develop device concepts for diode and transistor structures which take into account the novel properties of the low-dimensional assemblies.

Nanosheets and monolayers of nanoparticles truly follow the principle of building devices by the bottom-up approach and allow electric transport measurements in a 2D regime. Highly ordered nanomaterial systems possess easy and reliably to manipulate electronic properties what make them interesting for future (inexpensive) electronic devices.","1497200","2013-02-01","2019-01-31"
"2F4BIODYN","Two-Field Nuclear Magnetic Resonance Spectroscopy for the Exploration of Biomolecular Dynamics","Fabien Ferrage","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS","The paradigm of the structure-function relationship in proteins is outdated. Biological macromolecules and supramolecular assemblies are highly dynamic objects. Evidence that their motions are of utmost importance to their functions is regularly identified. The understanding of the physical chemistry of biological processes at an atomic level has to rely not only on the description of structure but also on the characterization of molecular motions.
The investigation of protein motions will be undertaken with a very innovative methodological approach in nuclear magnetic resonance relaxation. In order to widen the ranges of frequencies at which local motions in proteins are probed, we will first use and develop new techniques for a prototype shuttle system for the measurement of relaxation at low fields on a high-field NMR spectrometer. Second, we will develop a novel system: a set of low-field NMR spectrometers designed as accessories for high-field spectrometers. Used in conjunction with the shuttle, this system will offer (i) the sensitivity and resolution (i.e. atomic level information) of a high-field spectrometer (ii) the access to low fields of a relaxometer and (iii) the ability to measure a wide variety of relaxation rates with high accuracy. This system will benefit from the latest technology in homogeneous permanent magnet development to allow a control of spin systems identical to that of a high-resolution probe. This new apparatus will open the way to the use of NMR relaxation at low fields for the refinement of protein motions at an atomic scale.
Applications of this novel approach will focus on the bright side of protein dynamics: (i) the largely unexplored dynamics of intrinsically disordered proteins, and (ii) domain motions in large proteins. In both cases, we will investigate a series of diverse protein systems with implications in development, cancer and immunity.","1462080","2012-01-01","2017-12-31"
"2O2ACTIVATION","Development of Direct Dehydrogenative Couplings mediated by Dioxygen","Frederic William Patureau","RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN","The field of C-H bond activation has evolved at an exponential pace in the last 15 years. What appeals most in those novel synthetic techniques is clear: they bypass the pre-activation steps usually required in traditional cross-coupling chemistry by directly metalating C-H bonds. Many C-H bond functionalizations today however, rely on poorly atom and step efficient oxidants, leading to significant and costly chemical waste, thereby seriously undermining the overall sustainability of those methods. As restrictions in sustainability regulations will further increase, and the cost of certain chemical commodities will rise, atom efficiency in organic synthesis remains a top priority for research. 

The aim of 2O2ACTIVATION is to develop novel technologies utilizing O2 as sole terminal oxidant in order to allow useful, extremely sustainable, thermodynamically challenging, dehydrogenative C-N and C-O bond forming coupling reactions. However, the moderate reactivity of O2 towards many catalysts constitutes a major challenge. 2O2ACTIVATION will pioneer the design of new catalysts based on the ultra-simple propene motive, capable of direct activation of O2 for C-H activation based cross-couplings. The project is divided into 3 major lines: O2 activation using propene and its analogues (propenoids), 1) without metal or halide, 2) with hypervalent halide catalysis, 3) with metal catalyzed C-H activation. 
The philosophy of 2O2ACTIVATION is to focus C-H functionalization method development on the oxidative event.

Consequently, 2O2ACTIVATION breakthroughs will dramatically shortcut synthetic routes through the use of inactivated, unprotected, and readily available building blocks; and thus should be easily scalable. This will lead to a strong decrease in the costs related to the production of many essential chemicals, while preserving the environment (water as terminal by-product). The resulting novels coupling methods will thus have a lasting impact on the chemical industry.","1489823","2017-03-01","2022-02-28"
"3D-FABRIC","3D Flow Analysis in Bijels Reconfigured for Interfacial Catalysis","Martin F. HAASE","UNIVERSITEIT UTRECHT","The objective of this proposal is to determine the unknown criteria for convective cross-flow in bicontinuous interfacially jammed emulsion gels (bijels). Based on this, we will answer the question: Can continuously operated interfacial catalysis be realized in bijel cross-flow reactors? Demonstrating this potential will introduce a broadly applicable chemical technology, replacing wasteful chemical processes that require organic solvents. We will achieve our objective in three steps: 

(a) Control over bijel structure and properties. Bijels will be formed with a selection of functional inorganic colloidal particles. Nanoparticle surface modifications will be developed and extensively characterized. General principles for the parameters determining bijel structures and properties will be established based on confocal and electron microscopy characterization. These principles will enable unprecedented control over bijel formation and will allow for designing desired properties.

(b) Convective flow in bijels. The mechanical strength of bijels will be tailored and measured. With mechanically robust bijels, the influence of size and organization of oil/water channels on convective mass transfer in bijels will be investigated. To this end, a bijel mass transfer apparatus fabricated by 3d-printing of bijel fibers and soft photolithography will be introduced. In conjunction with the following objective, the analysis of convective flows in bijels will facilitate a thorough description of their structure/function relationships.

(c) Biphasic chemical reactions in STrIPS bijel cross-flow reactors. First, continuous extraction in bijels will be realized. Next, conditions to carry out continuously-operated, phase transfer catalysis of well-known model reactions in bijels will be determined. Both processes will be characterized in-situ and in 3-dimensions by confocal microscopy of fluorescent phase transfer reactions in transparent bijels.","1905000","2019-06-01","2024-05-31"
"3D-FIREFLUC","Taming the particle transport in magnetized plasmas via perturbative fields","Eleonora VIEZZER","UNIVERSIDAD DE SEVILLA","Wave-particle interactions are ubiquitous in nature and play a fundamental role in astrophysical and fusion plasmas. In solar plasmas, magnetohydrodynamic (MHD) fluctuations are thought to be responsible for the heating of the solar corona and the generation of the solar wind. In magnetically confined fusion (MCF) devices, enhanced particle transport induced by MHD fluctuations can deteriorate the plasma confinement, and also endanger the device integrity. MCF devices are an ideal testbed to verify current models and develop mitigation / protection techniques.

The proposed project paves the way for providing active control techniques to tame the MHD induced particle transport in a fusion plasma. A solid understanding of the interaction between energetic particles and MHD instabilities in the presence of electric fields and plasma currents is required to develop such techniques. I will pursue this goal through innovative diagnosis techniques with unprecedented spatio-temporal resolution. Combined with state-of-the-art hybrid MHD codes, a deep insight into the underlying physics mechanism will be gained. The outcome of this research project will have a major impact for next-step MCF devices as I will provide ground-breaking control techniques for mitigating MHD induced particle transport in magnetized plasmas.

The project consists of 3 research lines which follow a bottom-up approach: 
(1) Cutting-edge instrumentation, aiming at the new generation of energetic particle and edge current diagnostics. 
(2) Unravel the dynamics of energetic particles, electric fields, edge currents and MHD fluctuations. 
(3) From lab to space weather: The developed models will revolutionize our understanding of the observed particle acceleration and transport in the solar corona.

Based on this approach, the project represents a gateway between the fusion, astrophysics and space communities opening new avenues for a common basic understanding.","1512250","2019-05-01","2024-04-30"
"3D-FM","Taking Force Microscopy into the Third Dimension","Tjerk Hendrik Oosterkamp","UNIVERSITEIT LEIDEN","I propose to pursue two emerging Force Microscopy techniques that allow measuring structural properties below the surface of the specimen. Whereas Force Microscopy (most commonly known under the name AFM) is usually limited to measuring the surface topography and surface properties of a specimen, I will demonstrate that Force Microscopy can achieve true 3D images of the structure of the cell nucleus. In Ultrasound Force Microscopy, an ultrasound wave is launched from below towards the surface of the specimen. After the sound waves interact with structures beneath the surface of the specimen, the local variations in the amplitude and phase shift of the ultrasonic surface motion is collected by the Force Microscopy tip. Previously, measured 2D maps of the surface response have shown that the surface response is sensitive to structures below the surface. In this project I will employ miniature AFM cantilevers and nanotube tips that I have already developed in my lab. This will allow me to quickly acquire many such 2D maps at a much wider range of ultrasound frequencies and from these 2D maps calculate the full 3D structure below the surface. I expect this technique to have a resolving power better than 10 nm in three dimensions as far as 2 microns below the surface. In parallel I will introduce a major improvement to a technique based on Nuclear Magnetic Resonance (NMR). Magnetic Resonance Force Microscopy measures the interaction of a rotating nuclear spin in the field gradient of a magnetic Force Microscopy tip. However, these forces are so small that they pose an enormous challenge. Miniature cantilevers and nanotube tips, in combination with additional innovations in the detection of the cantilever motion, can overcome this problem. I expect to be able to measure the combined signal of 100 proton spins or fewer, which will allow me to measure proton densities with a resolution of 5 nm, but possibly even with atomic resolution.","1794960","2008-08-01","2013-07-31"
"3D-FNPWriting","Unprecedented spatial control of porosity and functionality in nanoporous membranes through 3D printing and microscopy for polymer writing","Annette ANDRIEU-BRUNSEN","TECHNISCHE UNIVERSITAT DARMSTADT","Membranes are key materials in our life. Nature offers high performance membranes relying on a parallel local regulation of nanopore structure, functional placement, membrane composition and architecture. Existing technological membranes are key materials in separation, recycling, sensing, energy conversion, being essential components for a sustainable future. But their performance is far away from their natural counterparts. One reason for this performance gap is the lack of 3D nanolocal control in membrane design. This applies to each individual nanopore but as well to the membrane architecture. This proposal aims to implement 3D printing (additive manufacturing, top down) and complex near-field and total internal reflection (TIR) high resolution microscopy induced polymer writing (bottom up) to nanolocally control in hierarchical nanoporous membranes spatially and independent of each other: porosity, pore functionalization, membrane architecture, composition. This disruptive technology platform will make accessible to date unachieved, highly accurate asymmetric nanopores and multifunctional, hierarchical membrane architecture/ composition and thus highly selective, directed, transport with tuneable rates. 3D-FNPWriting will demonstrate this for the increasing class of metal nanoparticle/ salt pollutants aiming for tuneable, selective, directed transport based monitoring and recycling instead of size-based filtration, accumulation into sewerage and distribution into nature. Specifically, the potential of this disruptive technology with respect to transport design will be demonstrated for a) a 3D-printed in-situ functionalized nanoporous fiber architecture and b) a printed, nanolocally near-field and TIR-microscopy polymer functionalized membrane representing a thin separation layer. This will open systematic understanding of nanolocal functional control on transport and new perspectives in water/ energy management for future smart industry/ homes.","1499844","2019-04-01","2024-03-31"
"3D-nanoMorph","Label-free 3D morphological nanoscopy for studying sub-cellular dynamics in live cancer cells with high spatio-temporal resolution","Krishna AGARWAL","UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET","Label-free optical nanoscopy, free from photobleaching and photochemical toxicity of fluorescence labels and yielding 3D morphological resolution of <50 nm, is the future of live cell imaging. 3D-nanoMorph breaks the diffraction barrier and shifts the paradigm in label-free nanoscopy, providing isotropic 3D resolution of <50 nm. To achieve this, 3D-nanoMorph performs non-linear inverse scattering for the first time in nanoscopy and decodes scattering between sub-cellular structures (organelles).

3D-nanoMorph innovatively devises complementary roles of light measurement system and computational nanoscopy algorithm. A novel illumination system and a novel light collection system together enable measurement of only the most relevant intensity component and create a fresh perspective about label-free measurements. A new computational nanoscopy approach employs non-linear inverse scattering. Harnessing non-linear inverse scattering for resolution enhancement in nanoscopy opens new possibilities in label-free 3D nanoscopy.

I will apply 3D-nanoMorph to study organelle degradation (autophagy) in live cancer cells over extended duration with high spatial and temporal resolution, presently limited by the lack of high-resolution label-free 3D morphological nanoscopy. Successful 3D mapping of nanoscale biological process of autophagy will open new avenues for cancer treatment and showcase 3D-nanoMorph for wider applications.

My cross-disciplinary expertise of 14 years spanning inverse problems, electromagnetism, optical microscopy, integrated optics and live cell nanoscopy paves path for successful implementation of 3D-nanoMorph.","1499999","2019-07-01","2024-06-30"
"3D-PXM","3D Piezoresponse X-ray Microscopy","Hugh SIMONS","DANMARKS TEKNISKE UNIVERSITET","Polar materials, such as piezoelectrics and ferroelectrics are essential to our modern life, yet they are mostly developed by trial-and-error. Their properties overwhelmingly depend on the defects within them, the majority of which are hidden in the bulk. The road to better materials is via mapping these defects, but our best tool for it – piezoresponse force microscopy (PFM) – is limited to surfaces. 3D-PXM aims to revolutionize our understanding by measuring the local structure-property correlations around individual defects buried deep in the bulk.
 
This is a completely new kind of microscopy enabling 3D maps of local strain and polarization (i.e. piezoresponse) with 10 nm resolution in mm-sized samples. It is novel, multi-scale and fast enough to capture defect dynamics in real time. Uniquely, it is a full-field method that uses a synthetic-aperture approach to improve both resolution and recover the image phase. This phase is then quantitatively correlated to local polarization and strain via a forward model. 3D-PXM combines advances in X-Ray optics, phase recovery and data analysis to create something transformative. In principle, it can achieve spatial resolution comparable to the best coherent X-Ray microscopy methods while being faster, used on larger samples, and without risk of radiation damage.
 
For the first time, this opens the door to solving how defects influence bulk properties under real-life conditions. 3D-PXM focuses on three types of defects prevalent in polar materials: grain boundaries, dislocations and polar nanoregions. Individually they address major gaps in the state-of-the-art, while together making great strides towards fully understanding defects. This understanding is expected to inform a new generation of multi-scale models that can account for a material’s full heterogeneity. These models are the first step towards abandoning our tradition of trial-and-error, and with this comes the potential for a new era of polar materials.","1496941","2019-01-01","2023-12-31"
"3D-QUEST","3D-Quantum Integrated Optical Simulation","Fabio Sciarrino","UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA","""Quantum information was born from the merging of classical information and quantum physics. Its main objective consists of understanding the quantum nature of information and learning how to process it by using physical systems which operate by following quantum mechanics laws. Quantum simulation is a fundamental instrument to investigate phenomena of quantum systems dynamics, such as quantum transport, particle localizations and energy transfer, quantum-to-classical transition, and even quantum improved computation, all tasks that are hard to simulate with classical approaches. Within this framework integrated photonic circuits have a strong potential to realize quantum information processing by optical systems.

The aim of 3D-QUEST is to develop and implement quantum simulation by exploiting 3-dimensional integrated photonic circuits. 3D-QUEST is structured to demonstrate the potential of linear optics to implement a computational power beyond the one of a classical computer. Such """"hard-to-simulate"""" scenario is disclosed when multiphoton-multimode platforms are realized. The 3D-QUEST research program will focus on three tasks of growing difficulty.
A-1. To simulate bosonic-fermionic dynamics with integrated optical systems acting on 2 photon entangled states.
A-2. To pave the way towards hard-to-simulate, scalable quantum linear optical circuits by investigating m-port interferometers acting on n-photon states with n>2.
A-3. To exploit 3-dimensional integrated structures for the observation of new quantum optical phenomena and for the quantum simulation of more complex scenarios.

3D-QUEST will exploit the potential of the femtosecond laser writing integrated waveguides. This technique will be adopted to realize 3-dimensional capabilities and high flexibility, bringing in this way the optical quantum simulation in to new regime.""","1474800","2012-08-01","2017-07-31"
